,Feature,Weight
0,all_1,0.11399783024346262
1,all_2,-0.2916534393496899
2,all_3,-0.38180277738945334
3,all_4,-0.1442099339202938
4,all_5,-0.25072647643015966
5,all_6,-0.1061560843711291
6,all_7,-0.150744678098659
7,all_8,-0.05925666281312933
8,all_9,0.3227549576074304
9,all_10,0.07338617108519711
10,all_11,-0.14663770362581388
11,all_12,0.0953150075580002
12,all_13,0.07070638084158684
13,all_14,0.2172147533071608
14,all_15,0.29903105836469
15,all_16,0.006241886155316041
16,delta_1,0.15886172265668327
17,delta_2,-0.1580138692585014
18,delta_3,-0.5188380642443318
19,delta_4,-0.20144219176171274
20,delta_5,-0.28703486062373473
21,delta_6,0.37339787623776494
22,delta_7,-0.10527820301113043
23,delta_8,-0.1409710849153428
24,delta_9,0.5418535730508421
25,delta_10,-0.01802168802439976
26,delta_11,-0.02320772008684928
27,delta_12,-0.41797734410353804
28,delta_13,0.36062868271666987
29,delta_14,0.46389975769092623
30,delta_15,0.30829943734528
31,delta_16,-0.05722910100525754
32,theta_1,0.4574954639502223
33,theta_2,0.17838872306992493
34,theta_3,0.09825386406864552
35,theta_4,0.0772266812012592
36,theta_5,0.16424911016797022
37,theta_6,0.41484139837625306
38,theta_7,0.07621042673458552
39,theta_8,-0.12957208486710978
40,theta_9,0.33163831987586545
41,theta_10,0.169817480089678
42,theta_11,-0.10436863292734622
43,theta_12,-0.13527499871093643
44,theta_13,0.056722869157679434
45,theta_14,0.00915103575135158
46,theta_15,-0.057849894845266404
47,theta_16,0.09624068083476701
48,alpha1_1,0.019684446787044868
49,alpha1_2,-0.0645598397727929
50,alpha1_3,-0.02616994859629449
51,alpha1_4,-0.10126698281779253
52,alpha1_5,-0.11436600805873323
53,alpha1_6,0.036183672527653615
54,alpha1_7,0.023670212831307692
55,alpha1_8,-0.11871956564422348
56,alpha1_9,-0.03441931371680079
57,alpha1_10,0.05535019463206694
58,alpha1_11,0.04948855402986676
59,alpha1_12,-0.03877318772435991
60,alpha1_13,-0.14508388579783144
61,alpha1_14,-0.14930901329438936
62,alpha1_15,0.006886907107382716
63,alpha1_16,-0.018544349639842025
64,alpha2_1,0.0031483382941694645
65,alpha2_2,0.07587275039432334
66,alpha2_3,0.04469483104721164
67,alpha2_4,-0.08172413456899266
68,alpha2_5,-0.18027024290268912
69,alpha2_6,-0.061715233033623744
70,alpha2_7,0.059637398452453985
71,alpha2_8,0.025349938862173595
72,alpha2_9,0.027709111648636812
73,alpha2_10,0.09400134006626891
74,alpha2_11,0.0056371147304505815
75,alpha2_12,0.06293176062232864
76,alpha2_13,-0.02296504008835795
77,alpha2_14,0.053441809866554134
78,alpha2_15,0.11449655272649571
79,alpha2_16,0.17577009773008
80,beta1_1,-0.28666630051450587
81,beta1_2,-0.085118577047802
82,beta1_3,-0.16357604965016195
83,beta1_4,-0.24420998261975002
84,beta1_5,-0.2519931642788048
85,beta1_6,-0.10429865544580043
86,beta1_7,-0.06473892149090232
87,beta1_8,0.03823324854593489
88,beta1_9,0.04523330911992596
89,beta1_10,-0.16584315703496572
90,beta1_11,-0.228039949679548
91,beta1_12,0.25868862761404365
92,beta1_13,0.105670300363586
93,beta1_14,0.002759733593409515
94,beta1_15,0.2240722796691566
95,beta1_16,0.23157165851894781
96,beta2_1,-0.20132866635116392
97,beta2_2,0.29412660608929836
98,beta2_3,-0.07711339511415444
99,beta2_4,-0.33176618236617933
100,beta2_5,-0.38521249762489423
101,beta2_6,0.18162469576411824
102,beta2_7,0.028478189318647113
103,beta2_8,-0.051035524478939005
104,beta2_9,-0.13518271354344602
105,beta2_10,-0.0686626715836975
106,beta2_11,-0.26853510933406055
107,beta2_12,0.19275760803488018
108,beta2_13,-0.06486249196405089
109,beta2_14,0.1661289208032806
110,beta2_15,0.038985119988329375
111,beta2_16,-0.006089383177703493
112,gamma_1,-0.11189756056321183
113,gamma_2,0.20194735310415063
114,gamma_3,0.012821384184375055
115,gamma_4,0.003592947087254657
116,gamma_5,-0.002262206794875787
117,gamma_6,0.31705832347201873
118,gamma_7,0.16930335507949149
119,gamma_8,0.014729864127514772
120,gamma_9,0.07051553563273806
121,gamma_10,0.121337789134787
122,gamma_11,0.027484262554356268
123,gamma_12,0.3120614091374528
124,gamma_13,0.06101339279056838
125,gamma_14,-0.04403358905490974
126,gamma_15,0.6576841449739784
127,gamma_16,0.1488111107632938
